Compound,SMILE,FP-2 IC50 (uM),FP-2 pIC50 (uM)
2,OCCCc1sc(\C=C\C(=O)CSCCCc2ccccc2)nc1CCc1ccccc1,6.6,5.180456064458132
4,O=CCCc1sc(CCC(=O)CSCCCc2ccccc2)nc1CCc1ccccc1,39.1,4.407823242604133
8,NC(=O)CCc1sc(NC(=O)CSCCCc2ccccc2)nc1\C=C\c1ccccc1,15.3,4.815308569182402
14,CCCC\C(=N/NC(N)=S)c1ccc(Cl)c(Cl)c1,0.62,6.2076083105017466
15,CC(C)(C)C(=N/NC(N)=S)\c1ccc(Cl)c(Cl)c1,0.5,6.301029995663981
16,NC(=S)N\N=C(/C1CCCCC1)c1ccc(Cl)c(Cl)c1,14.0,4.853871964321762
17,NC(=S)N\N=C(/C=C/c1ccccc1)\c1ccc(Cl)c(Cl)c1,0.47,6.327902142064283
18,NC(=S)N\N=C(/Cc1ccccc1)c1ccc(Cl)c(Cl)c1,8.4,5.075720713938118
19,Cc1ccc(cc1)C(=N/NC(N)=S)\c1ccc(Cl)c(Cl)c1,1.8,5.7447274948966935
20,NC(=S)N\N=C(/C1CC1c1ccccc1)c1ccc(Cl)c(Cl)c1,0.64,6.1938200260161125
21,NC(=S)N\N=C(/COc1ccccc1)c1ccc(Cl)c(Cl)c1,0.375,6.425968732272281
22,NC(=S)N\N=C(/CCc1ccccc1)c1ccc(Cl)c(Cl)c1,2.6,5.585026652029182
30,CCN(CC)Cc1c(O)ccc(\C=N\NC(N)=S)c1O,11.07,4.955852379121278
31,NC(=S)N\N=C/c1ccc(O)c(CN2CCCC2)c1O,5.85,5.23284413391782
32,NC(=S)N\N=C/c1ccc(O)c(CN2CCCCC2)c1O,3.8,5.42021640338319
34,CN1CCN(Cc2c(O)ccc(\C=N/NC(N)=S)c2O)CC1,18.22,4.739451627363021
35,NC(=S)N\N=C/c1ccc(O)c(CN2CCN(CC2)c2ccnc3cc(Cl)ccc23)c1O,2.25,5.647817481888637
38,CCN(CC)c1c(O)ccc(\C=N\NC(=O)NCCNc2ccnc3cc(Cl)ccc23)c1C,2.6,5.585026652029182
39,Cc1c(\C=N\NC(=O)NCCNc2ccnc3cc(Cl)ccc23)ccc(O)c1N1CCCC1,0.72,6.142667503568732
40,Cc1c(\C=N\NC(=O)NCCNc2ccnc3cc(Cl)ccc23)ccc(O)c1N1CCCCC1,0.63,6.200659450546418
43,Oc1ccc(\C=N\NC(=O)NCCNc2ccnc3cc(Cl)ccc23)c(O)c1CN1CCN(CC1)c1ccnc2cc(Cl)ccc12,3.16,5.5003129173815966
54,O=S(=O)(NCc1ccco1)c1ccc-2c(Cc3cc(ccc-23)S(=O)(=O)NCc2ccco2)c1,1.4,5.853871964321762
55,O=S(=O)(N1CCOCC1)c1ccc(s1)-c1ccc(s1)S(=O)(=O)N1CCOCC1,5.4,5.267606240177032
56,Fc1cccc(Cl)c1CO\N=C/NNC(=O)Cn1nnc(n1)-c1ccccc1,10.8,4.966576244513051
